,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
18,0.0036,1.7313,0.8456,0.8424,1.0305,0.9774,0.9051333333333335,-0.8261666666666666,0.05953333333333344,0.06273333333333342,-0.12536666666666652,-0.07226666666666659
19,0.0038,1.7291,0.8439,0.8432,1.0335,0.9658,0.9032166666666667,-0.8258833333333334,0.059316666666666684,0.06001666666666672,-0.13028333333333342,-0.06258333333333332
20,0.004,1.7269,0.8448,0.8441,1.0365,0.9564,0.9021166666666668,-0.8247833333333333,0.05731666666666679,0.05801666666666683,-0.1343833333333332,-0.05428333333333324
21,0.0042,1.7313,0.8456,0.845,1.0431,0.951,0.9033666666666665,-0.8279333333333335,0.05776666666666652,0.05836666666666657,-0.13973333333333338,-0.047633333333333416
22,0.0044,1.7291,0.8465,0.8467,1.053,0.9546,0.9057166666666667,-0.8233833333333334,0.059216666666666695,0.05901666666666672,-0.1472833333333332,-0.04888333333333328
23,0.0046,1.7313,0.8465,0.8492,1.0549,0.9652,0.9086166666666666,-0.8226833333333334,0.0621166666666666,0.05941666666666667,-0.14628333333333332,-0.05658333333333332
24,0.0048,1.7291,0.8482,0.8509,1.0632,0.9809,0.91285,-0.81625,0.0646500000000001,0.06195000000000006,-0.15034999999999987,-0.06804999999999994
25,0.005,1.7313,0.8507,0.8534,1.0756,1.0033,0.9198833333333334,-0.8114166666666667,0.06918333333333337,0.06648333333333334,-0.1557166666666665,-0.0834166666666667
26,0.0052,1.7313,0.8532,0.8559,1.0886,1.0259,0.9266833333333334,-0.8046166666666666,0.07348333333333346,0.07078333333333342,-0.1619166666666666,-0.09921666666666662
27,0.0054,1.7358,0.8549,0.8583,1.0949,1.0476,0.9328166666666666,-0.8029833333333334,0.07791666666666663,0.07451666666666668,-0.16208333333333336,-0.11478333333333346
28,0.0056,1.7269,0.8573,0.8608,1.1042,1.064,0.9364666666666667,-0.7904333333333334,0.07916666666666672,0.07566666666666666,-0.1677333333333334,-0.1275333333333334
29,0.0058,1.7336,0.8598,0.864,1.1139,1.0738,0.9418166666666666,-0.7917833333333334,0.08201666666666663,0.07781666666666665,-0.17208333333333325,-0.13198333333333345
30,0.006,1.7313,0.8638,0.868,1.1208,1.0778,0.9446166666666667,-0.7866833333333334,0.08081666666666665,0.07661666666666667,-0.17618333333333336,-0.13318333333333343
31,0.0062,1.7336,0.867,0.8703,1.1254,1.0833,0.9476333333333331,-0.7859666666666669,0.08063333333333311,0.07733333333333314,-0.17776666666666685,-0.13566666666666682
32,0.0064,1.7313,0.8701,0.8742,1.1301,1.0799,0.9486666666666667,-0.7826333333333334,0.07856666666666667,0.07446666666666668,-0.18143333333333345,-0.13123333333333342
33,0.0066,1.7247,0.8732,0.8765,1.1309,1.0805,0.9487333333333333,-0.7759666666666666,0.07553333333333334,0.07223333333333337,-0.1821666666666667,-0.1317666666666667
34,0.0068,1.7403,0.8771,0.8818,1.1317,1.0686,0.9510500000000001,-0.7892499999999999,0.07395000000000007,0.06925000000000003,-0.18064999999999987,-0.11754999999999993
35,0.007,1.7313,0.8809,0.8848,1.1301,1.0673,0.9502333333333333,-0.7810666666666668,0.06933333333333325,0.06543333333333323,-0.17986666666666684,-0.11706666666666665
36,0.0072,1.7358,0.8839,0.8855,1.1286,1.0595,0.9500833333333333,-0.7857166666666667,0.06618333333333326,0.06458333333333333,-0.17851666666666677,-0.10941666666666683
37,0.0074,1.7269,0.8861,0.8892,1.127,1.0532,0.9483,-0.7786000000000001,0.06220000000000003,0.05910000000000004,-0.17869999999999997,-0.10489999999999988
38,0.0076,1.7336,0.8912,0.8921,1.1231,1.0476,0.9492000000000002,-0.7843999999999999,0.05800000000000016,0.05710000000000015,-0.17389999999999983,-0.09839999999999993
39,0.0078,1.7247,0.8926,0.8956,1.1223,1.0451,0.9480166666666666,-0.7766833333333333,0.05541666666666667,0.05241666666666667,-0.17428333333333346,-0.0970833333333333
40,0.008,1.7403,0.8955,0.8999,1.1192,1.0427,0.9509333333333333,-0.7893666666666667,0.055433333333333334,0.051033333333333264,-0.16826666666666668,-0.09176666666666666
41,0.0082,1.7247,0.899,0.9013,1.1192,1.0427,0.9491833333333334,-0.7755166666666665,0.05018333333333336,0.04788333333333339,-0.1700166666666666,-0.09351666666666658
42,0.0084,1.7313,0.9025,0.9034,1.1169,1.0421,0.9507666666666665,-0.7805333333333335,0.04826666666666657,0.04736666666666656,-0.16613333333333347,-0.09133333333333349
43,0.0086,1.7336,0.9067,0.9075,1.1154,1.0445,0.9527166666666668,-0.7808833333333333,0.04601666666666682,0.045216666666666794,-0.16268333333333318,-0.09178333333333322
44,0.0088,1.7313,0.9114,0.9109,1.1177,1.0464,0.9544166666666668,-0.7768833333333333,0.043016666666666814,0.04351666666666676,-0.1632833333333331,-0.0919833333333332
45,0.009,1.7336,0.9181,0.9122,1.1146,1.0495,0.9561666666666667,-0.7774333333333333,0.03806666666666669,0.04396666666666671,-0.15843333333333331,-0.09333333333333338
46,0.0092,1.7358,0.9239,0.9149,1.1154,1.052,0.9585333333333335,-0.7772666666666666,0.034633333333333405,0.04363333333333341,-0.1568666666666665,-0.09346666666666659
47,0.0094,1.7358,0.9335,0.9182,1.1154,1.0507,0.9605,-0.7753,0.027000000000000024,0.042300000000000004,-0.15489999999999993,-0.09019999999999995
48,0.0096,1.7181,0.9422,0.9241,1.1146,1.0501,0.9597833333333335,-0.7583166666666664,0.017583333333333506,0.03568333333333351,-0.1548166666666665,-0.09031666666666649
49,0.0098,1.7225,0.9501,0.926,1.1116,1.0458,0.9609666666666666,-0.7615333333333333,0.010866666666666691,0.03496666666666659,-0.15063333333333329,-0.08483333333333343
50,0.01,1.7538,0.9561,0.9292,1.1109,1.0384,0.9664,-0.7874,0.010300000000000087,0.03720000000000001,-0.14449999999999996,-0.07199999999999995
51,0.0102,1.7225,0.9638,0.933,1.1101,1.0277,0.9612166666666667,-0.7612833333333332,-0.002583333333333271,0.028216666666666668,-0.14888333333333337,-0.06648333333333334
52,0.0104,1.7313,0.969,0.9374,1.1087,1.0136,0.9617333333333334,-0.7695666666666666,-0.0072666666666665325,0.02433333333333343,-0.14696666666666658,-0.051866666666666617
53,0.0106,1.7313,0.9742,0.9442,1.1064,1.0004,0.9611833333333334,-0.7701166666666667,-0.013016666666666565,0.01698333333333335,-0.14521666666666666,-0.039216666666666566
54,0.0108,1.7291,0.9766,0.9448,1.1094,0.9832,0.9589833333333333,-0.7701166666666668,-0.017616666666666725,0.014183333333333326,-0.15041666666666664,-0.024216666666666664
55,0.011,1.7336,0.9794,0.9556,1.1072,0.9664,0.9588666666666668,-0.7747333333333333,-0.020533333333333292,0.003266666666666751,-0.1483333333333332,-0.007533333333333281
56,0.0112,1.7269,0.9886,0.9598,1.1101,0.951,0.9579333333333332,-0.7689666666666669,-0.030666666666666842,-0.0018666666666667941,-0.1521666666666669,0.006933333333333236
57,0.0114,1.7313,0.9725,0.9639,1.1169,0.9307,0.95445,-0.77685,-0.01805000000000001,-0.009449999999999958,-0.16244999999999998,0.02375000000000005
58,0.0116,1.7269,0.9829,0.9732,1.1208,0.9138,0.9548666666666668,-0.7720333333333333,-0.028033333333333244,-0.0183333333333332,-0.16593333333333327,0.04106666666666681
59,0.0118,1.7336,0.98,0.9778,1.1238,0.898,0.9541666666666666,-0.7794333333333334,-0.025833333333333375,-0.023633333333333395,-0.1696333333333333,0.05616666666666659
60,0.012,1.7269,0.976,0.983,1.1301,0.882,0.9516666666666667,-0.7752333333333334,-0.024333333333333318,-0.031333333333333324,-0.17843333333333344,0.06966666666666665
