,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
12,0.0024,11.8448,6.0038,10.4243,7.5817,3.9429,6.6333166666666665,-5.211483333333333,0.6295166666666665,-3.790983333333334,-0.9483833333333331,2.6904166666666667
13,0.0026,11.952,7.4147,10.1829,8.1171,3.3193,6.831433333333333,-5.120566666666667,-0.5832666666666668,-3.351466666666667,-1.2856666666666676,3.512133333333333
14,0.0028,11.3124,6.6263,8.8214,8.5171,3.4332,6.4522,-4.8602,-0.17409999999999926,-2.3692,-2.064899999999999,3.0190000000000006
15,0.003,11.8282,7.3883,9.14,7.0533,4.8787,6.715250000000001,-5.11295,-0.673049999999999,-2.4247499999999995,-0.3380499999999991,1.8365500000000008
16,0.0032,11.9712,8.4176,10.1266,5.6058,6.493,7.102900000000001,-4.868299999999999,-1.3146999999999993,-3.023699999999999,1.4971000000000005,0.6099000000000006
17,0.0034,11.3484,6.5549,9.6284,4.9933,7.6359,6.69405,-4.65435,0.13914999999999988,-2.9343499999999993,1.7007500000000002,-0.9418500000000005
18,0.0036,11.7553,4.2532,7.6876,6.7974,7.5962,6.348883333333333,-5.406416666666667,2.0956833333333336,-1.3387166666666666,-0.44851666666666645,-1.2473166666666664
19,0.0038,11.9763,3.4262,7.7736,7.7935,6.4736,6.241166666666666,-5.7351333333333345,2.8149666666666655,-1.5324333333333344,-1.5523333333333342,-0.2324333333333346
20,0.004,11.3585,3.7159,8.6665,7.9522,7.4374,6.522416666666667,-4.836083333333332,2.8065166666666674,-2.144083333333332,-1.429783333333333,-0.9149833333333328
21,0.0042,11.6787,4.1368,7.3435,7.7604,6.7661,6.281616666666667,-5.397083333333332,2.1448166666666673,-1.0618833333333324,-1.4787833333333325,-0.4844833333333325
22,0.0044,11.9755,3.5335,6.4334,8.9815,6.3253,6.208933333333333,-5.766566666666667,2.6754333333333333,-0.22446666666666637,-2.772566666666667,-0.11636666666666695
23,0.0046,11.3931,2.8042,6.3818,7.681,6.159,5.737283333333334,-5.6558166666666665,2.933083333333334,-0.6445166666666662,-1.943716666666666,-0.42171666666666585
24,0.0048,11.6397,2.8317,4.8772,8.229,5.6504,5.538799999999999,-6.1009,2.707099999999999,0.6615999999999991,-2.6902,-0.11160000000000103
25,0.005,11.9866,3.5761,3.8555,7.7604,4.2879,5.24525,-6.741349999999999,1.6691500000000006,1.3897500000000003,-2.5151499999999993,0.9573500000000008
26,0.0052,11.4682,3.6528,3.1982,8.038,3.1518,4.919033333333334,-6.5491666666666655,1.266233333333334,1.720833333333334,-3.118966666666666,1.7672333333333339
27,0.0054,11.6137,3.5053,3.0357,8.9942,2.5268,4.94685,-6.666849999999999,1.4415500000000003,1.9111500000000006,-4.047349999999999,2.4200500000000003
28,0.0056,11.9914,2.8674,3.1461,9.4884,4.2398,5.289783333333333,-6.701616666666667,2.4223833333333333,2.143683333333333,-4.198616666666667,1.0499833333333335
29,0.0058,11.5337,2.3085,4.3403,8.2816,5.0416,5.251916666666667,-6.281783333333332,2.9434166666666672,0.9116166666666672,-3.029683333333332,0.21031666666666737
30,0.006,11.5827,2.4829,5.0754,7.5618,3.6023,5.051849999999999,-6.530850000000002,2.568949999999999,-0.02355000000000107,-2.509950000000001,1.449549999999999
31,0.0062,11.9877,3.4959,4.9177,7.628,2.009,5.007416666666667,-6.980283333333333,1.511516666666667,0.08971666666666689,-2.6205833333333333,2.998416666666667
32,0.0064,11.5337,3.8847,4.9351,7.2576,2.1021,4.953266666666667,-6.580433333333333,1.0685666666666669,0.018166666666666664,-2.304333333333333,2.851166666666667
